Date,Open,High,Low,Close,Adj Close,Volume
2010-09-30,22.000000,22.150000,20.190001,20.410000,20.410000,2195800
2010-10-01,20.690001,20.750000,20.309999,20.600000,20.600000,597700
2010-10-04,20.430000,21.170000,20.299999,20.990000,20.990000,643600
2010-10-05,21.150000,21.280001,21.010000,21.120001,21.120001,332000
2010-10-06,21.059999,21.260000,20.320000,20.459999,20.459999,313400
2010-10-07,20.570000,20.639999,20.340000,20.430000,20.430000,141000
2010-10-08,20.430000,20.790001,20.389999,20.430000,20.430000,267800
2010-10-11,20.440001,20.700001,20.070000,20.240000,20.240000,171200
2010-10-12,20.200001,20.280001,20.030001,20.240000,20.240000,244000
2010-10-13,20.639999,20.850000,20.360001,20.540001,20.540001,318200
2010-10-14,21.000000,21.030001,20.400000,20.750000,20.750000,294800
2010-10-15,20.889999,20.900000,20.250000,20.540001,20.540001,284700
2010-10-18,20.520000,20.639999,20.219999,20.230000,20.230000,162800
2010-10-19,20.200001,20.410000,20.000000,20.049999,20.049999,245200
2010-10-20,20.160000,20.690001,20.040001,20.650000,20.650000,312500
2010-10-21,20.610001,20.950001,20.450001,20.750000,20.750000,417100
2010-10-22,20.680000,20.930000,20.549999,20.719999,20.719999,161100
2010-10-25,20.940001,20.980000,20.730000,20.850000,20.850000,118500
2010-10-26,20.799999,21.870001,20.510000,21.360001,21.360001,660900
2010-10-27,21.250000,21.379999,20.650000,21.000000,21.000000,356500
2010-10-28,21.389999,21.500000,20.959999,21.190001,21.190001,224200
2010-10-29,21.139999,21.850000,21.049999,21.840000,21.840000,280600
2010-11-01,21.940001,22.750000,21.309999,21.410000,21.410000,455800
2010-11-02,21.680000,21.879999,21.049999,21.250000,21.250000,322500
2010-11-03,21.280001,22.500000,21.160000,21.770000,21.770000,372600
2010-11-04,22.600000,25.330000,22.150000,24.900000,24.900000,1874000
2010-11-05,24.870001,24.969999,23.719999,24.440001,24.440001,1011000
2010-11-08,24.500000,25.000000,24.030001,24.980000,24.980000,509500
2010-11-09,25.000000,25.690001,24.049999,24.629999,24.629999,956400
2010-11-10,24.480000,29.969999,24.049999,29.360001,29.360001,3060500
2010-11-11,28.600000,29.100000,27.330000,28.040001,28.040001,1945300
2010-11-12,28.250000,30.500000,28.070000,29.840000,29.840000,2729100
2010-11-15,30.219999,32.939999,30.219999,30.799999,30.799999,2622900
2010-11-16,31.000000,31.400000,28.420000,29.670000,29.670000,1347600
